rank,word,len,partOfSpeech,frequency,dispersion
93,no,2,a,402222,0.98
94,man,3,n,409760,0.95
95,find,4,v,395203,0.98
96,here,4,r,412315,0.93
97,thing,5,n,400724,0.94
98,give,4,v,384503,0.98
99,many,4,d,385348,0.97
100,well,4,r,411776,0.91
101,only,4,r,379574,0.98
102,those,5,d,378007,0.97
103,tell,4,v,388155,0.94
104,one,3,p,369553,0.98
105,very,4,r,391821,0.92
106,her,3,p,397950,0.89
107,even,4,r,361067,0.98
108,back,4,r,367844,0.94
109,any,3,d,348100,0.98
110,good,4,j,353973,0.96
111,woman,5,n,341422,0.98
112,through,7,i,340921,0.98
113,us,2,p,351088,0.95
114,life,4,n,333085,0.98
115,child,5,n,333849,0.97
116,there,5,r,333433,0.93
117,work,4,v,318210,0.98
118,down,4,r,329409,0.94
119,may,3,v,324569,0.95
120,after,5,i,311902,0.98
121,should,6,v,310265,0.98
122,call,4,v,308050,0.97
123,world,5,n,303506,0.97
124,over,4,i,300349,0.98
125,school,6,n,304183,0.95
126,still,5,r,296953,0.97
127,try,3,v,294023,0.96
128,in,2,r,285035,0.98
129,as,2,r,281483,0.98
130,last,4,m,289843,0.95
131,ask,3,v,284632,0.96
132,need,4,v,276744,0.98
133,too,3,r,280396,0.96
134,feel,4,v,275214,0.95
135,three,5,m,266744,0.98
136,when,4,r,268219,0.97
137,state,5,n,272193,0.94
138,never,5,r,262584,0.96
139,become,6,v,259102,0.97
140,between,7,i,264158,0.94
141,high,4,j,255936,0.96
142,really,6,r,263414,0.91
143,something,9,p,254910,0.94
144,most,4,r,246360,0.96
145,another,7,d,240646,0.98
146,much,4,d,244507,0.97
147,family,6,n,243267,0.97
148,own,3,d,240452,0.98
149,out,3,i,242443,0.96
150,leave,5,v,240482,0.96
151,put,3,v,237480,0.96
152,old,3,j,236577,0.96
153,while,5,c,234555,0.97
154,mean,4,v,242198,0.93
155,on,2,r,236980,0.95
156,keep,4,v,231760,0.96
157,student,7,n,255047,0.88
158,why,3,r,235442,0.95
159,let,3,v,240300,0.93
160,great,5,j,225005,0.97
161,same,4,d,222836,0.98
162,big,3,j,227169,0.96
163,group,5,n,229435,0.93
164,begin,5,v,218617,0.98
165,seem,4,v,219627,0.97
166,country,7,n,223138,0.95
167,help,4,v,216082,0.98
168,talk,4,v,229429,0.92
169,where,5,c,213744,0.98
170,turn,4,v,221392,0.94
171,problem,7,n,217728,0.96
172,every,5,a,212739,0.97
173,start,5,v,213952,0.96
174,hand,4,n,225247,0.91
175,might,5,v,209059,0.98
176,American,8,j,214968,0.95
177,show,4,v,208037,0.98
178,part,4,n,207861,0.98
179,about,5,r,208550,0.97
180,against,7,i,204379,0.98
181,place,5,n,202427,0.98
182,over,4,r,208260,0.95
183,such,4,d,207065,0.95
184,again,5,r,206895,0.94
185,few,3,d,197266,0.97
186,case,4,n,200773,0.95
187,most,4,d,197086,0.96
188,week,4,n,199268,0.95
189,company,7,n,203345,0.93
190,where,5,r,194427,0.96
191,system,6,n,200175,0.94
192,each,4,d,196522,0.95
193,right,5,r,205250,0.9
194,program,7,n,195985,0.93
195,hear,4,v,196070,0.93
196,so,2,c,191893,0.95
197,question,8,n,192070,0.95
198,during,6,i,190729,0.95
199,work,4,n,187533,0.97
200,play,4,v,188328,0.96
201,government,10,n,191314,0.94
202,run,3,v,187325,0.96
203,small,5,j,185463,0.97
204,number,6,n,186005,0.96
205,off,3,r,183854,0.95
206,always,6,r,179474,0.97
207,move,4,v,179388,0.97
208,like,4,v,182341,0.95
209,night,5,n,184511,0.93
210,live,4,v,176144,0.98
211,Mr,2,n,188555,0.91
212,point,5,n,177481,0.97
213,believe,7,v,178397,0.96
214,hold,4,v,177368,0.97
215,today,5,r,183724,0.93
216,bring,5,v,174366,0.98
217,happen,6,v,182714,0.93
218,next,4,m,176306,0.96
219,without,7,i,172448,0.98
220,before,6,i,172769,0.98
221,large,5,j,175611,0.96
222,all,3,r,177317,0.93
223,million,7,m,176895,0.93
224,must,4,v,171043,0.96
225,home,4,n,170527,0.96
226,under,5,i,164766,0.98
227,water,5,n,167666,0.96
228,room,4,n,172472,0.92
229,write,5,v,161824,0.98
230,mother,6,n,169407,0.93
231,area,4,n,165812,0.95
232,national,8,j,166359,0.95
233,money,5,n,164794,0.95
234,story,5,n,163582,0.96
235,young,5,j,160011,0.98
236,fact,4,n,164401,0.95
237,month,5,n,162685,0.96
238,different,9,j,162411,0.96
239,lot,3,n,169570,0.92
240,right,5,n,163259,0.95
241,study,5,n,174069,0.88
242,book,4,n,154013,0.98
243,eye,3,n,169150,0.89
244,job,3,n,154743,0.96
245,word,4,n,152891,0.97
246,though,6,c,152182,0.97
247,business,8,n,154468,0.95
248,issue,5,n,156417,0.94
249,side,4,n,152559,0.96
250,kind,4,n,155032,0.95
251,four,4,m,150646,0.97
252,head,4,n,160131,0.91
253,far,3,r,148621,0.98
254,black,5,j,150718,0.96
255,long,4,j,149050,0.97
256,both,4,d,146338,0.97
257,little,6,j,149658,0.94
258,house,5,n,149251,0.94
259,yes,3,u,157364,0.89
260,after,5,c,142289,0.98
261,since,5,c,141264,0.98
262,long,4,r,142007,0.97
263,provide,7,v,150879,0.91
264,service,7,n,146122,0.94
265,around,6,i,143766,0.96
266,friend,6,n,142697,0.96
267,important,9,j,144194,0.95
268,father,6,n,145051,0.93
269,sit,3,v,147185,0.92
270,away,4,r,144713,0.93
271,until,5,c,140819,0.96
272,power,5,n,141357,0.95
273,hour,4,n,138955,0.96
274,game,4,n,146311,0.92
275,often,5,r,140731,0.95
276,yet,3,r,135484,0.98
277,line,4,n,135986,0.98
278,political,9,j,144437,0.92
279,end,3,n,134104,0.98
280,among,5,i,138192,0.94
281,ever,4,r,135774,0.96
282,stand,5,v,140937,0.92
283,bad,3,j,134910,0.96
284,lose,4,v,134102,0.97
285,however,7,r,142282,0.91
286,member,6,n,134731,0.95
287,pay,3,v,133133,0.96
288,law,3,n,133706,0.95
289,meet,4,v,128737,0.98
290,car,3,n,133571,0.94
291,city,4,n,132684,0.95
292,almost,6,r,127907,0.98
293,include,7,v,133563,0.93
294,continue,8,v,126029,0.98
295,set,3,v,127369,0.97
296,later,5,r,126495,0.98
297,community,9,n,133057,0.93
298,much,4,r,126029,0.98
299,name,4,n,127139,0.97
300,five,4,m,125571,0.97
301,once,4,r,126203,0.97
302,white,5,j,126760,0.96
303,least,5,r,123961,0.98
304,president,9,n,134203,0.9
305,learn,5,v,124346,0.97
306,real,4,j,124187,0.97
307,change,6,v,123183,0.98
308,team,4,n,131489,0.92
309,minute,6,n,126660,0.95
310,best,4,j,124850,0.96
311,several,7,d,124039,0.97
312,idea,4,n,122140,0.98
313,kid,3,n,126428,0.95
314,body,4,n,125165,0.96
315,information,11,n,127331,0.94
316,nothing,7,p,126717,0.94
317,ago,3,r,125252,0.95
318,right,5,j,126278,0.94
319,lead,4,v,122691,0.97
320,social,6,j,132899,0.89
321,understand,10,v,121354,0.97
322,whether,7,c,121921,0.96
323,back,4,n,125006,0.94
324,watch,5,v,124976,0.94
325,together,8,r,119186,0.98
326,follow,6,v,119425,0.97
327,around,6,r,122789,0.94
328,parent,6,n,119610,0.97
329,only,4,j,117700,0.98
330,stop,4,v,121481,0.94
331,face,4,n,127291,0.89
332,anything,8,p,120292,0.94
333,create,6,v,119419,0.95
334,public,6,j,119825,0.95
335,already,7,r,115220,0.98
336,speak,5,v,117358,0.96
337,others,6,n,115771,0.97
338,read,4,v,114094,0.97
339,level,5,n,121704,0.91
340,allow,5,v,114892,0.97
341,add,3,v,117842,0.94
342,office,6,n,114791,0.97
343,spend,5,v,114569,0.97
344,door,4,n,124993,0.88
345,health,6,n,117762,0.94
346,person,6,n,113650,0.97
347,art,3,n,117851,0.93
348,sure,4,j,116186,0.94
349,such,4,i,119125,0.92
350,war,3,n,117804,0.93
351,history,7,n,114904,0.95
352,party,5,n,112962,0.96
353,within,6,i,114599,0.93
354,grow,4,v,110020,0.97
355,result,6,n,116277,0.92
356,open,4,v,111857,0.94
357,change,6,n,112426,0.94
358,morning,7,n,114002,0.92
359,walk,4,v,113787,0.92
360,reason,6,n,106863,0.97
361,low,3,j,108990,0.95
362,win,3,v,111478,0.93
363,research,8,n,114802,0.9
364,girl,4,n,110409,0.93
365,guy,3,n,110409,0.93
366,early,5,j,108171,0.95
367,food,4,n,107728,0.96
368,before,6,c,107448,0.96
369,moment,6,n,109720,0.94
370,himself,7,p,109288,0.94
371,air,3,n,105932,0.96
372,teacher,7,n,116100,0.88
373,force,5,n,108005,0.95
374,offer,5,v,106473,0.96
375,enough,6,r,105880,0.96
376,both,4,r,106361,0.95
377,education,9,n,113731,0.89
378,across,6,i,105559,0.96
379,although,8,c,107925,0.93
380,remember,8,v,106879,0.94
381,foot,4,n,107285,0.94
382,second,6,m,103621,0.97
383,boy,3,n,107447,0.93
384,maybe,5,r,108421,0.92
385,toward,6,i,105984,0.94
386,able,4,j,103171,0.97
387,age,3,n,103402,0.96
388,off,3,i,104122,0.95
389,policy,6,n,107601,0.92
390,everything,10,p,103591,0.95
391,love,4,v,103681,0.95
392,process,7,n,107341,0.91
393,music,5,n,102657,0.95
394,including,9,i,103650,0.94
395,consider,8,v,101987,0.96
396,appear,6,v,100671,0.97
397,actually,8,r,105155,0.92
398,buy,3,v,101105,0.95
399,probably,8,r,99754,0.96
400,human,5,j,101224,0.94
401,wait,4,v,102463,0.93
402,serve,5,v,99660,0.95
403,market,6,n,100435,0.94
404,die,3,v,98376,0.96
405,send,4,v,96613,0.97
406,expect,6,v,95566,0.98
407,home,4,r,97937,0.95
408,sense,5,n,95896,0.97
409,build,5,v,96651,0.96
410,stay,4,v,96933,0.96
411,fall,4,v,96908,0.95
412,oh,2,u,103613,0.89
413,nation,6,n,97212,0.95
414,plan,4,n,95824,0.96
415,cut,3,v,96012,0.95
416,college,7,n,97038,0.94
417,interest,8,n,96620,0.95
418,death,5,n,93222,0.98
419,course,6,r,96224,0.95
420,someone,7,p,95608,0.95
421,experience,10,n,98106,0.93
422,behind,6,i,95047,0.93
423,reach,5,v,92375,0.96
424,local,5,j,92970,0.95
425,kill,4,v,92660,0.95
426,six,3,m,90571,0.97
427,remain,6,v,91319,0.96
428,effect,6,n,95216,0.92
429,use,3,n,96564,0.9
430,yeah,4,u,103389,0.84
431,suggest,7,v,92643,0.93
432,class,5,n,91323,0.94
433,control,7,n,90301,0.94
434,raise,5,v,87036,0.98
435,care,4,n,88862,0.96
436,perhaps,7,r,87060,0.98
437,little,6,r,88697,0.95
438,late,4,j,86421,0.98
439,hard,4,j,86817,0.97
440,field,5,n,87243,0.96
441,else,4,r,87876,0.95
442,pass,4,v,86184,0.97
443,former,6,d,88930,0.94
444,sell,4,v,87865,0.95
445,major,5,j,87487,0.95
446,sometimes,9,r,84845,0.98
447,require,7,v,89280,0.93
448,along,5,i,84926,0.97
449,development,11,n,91995,0.9
450,themselves,10,p,85256,0.97
451,report,6,v,88138,0.93
452,role,4,n,88666,0.92
453,better,6,j,83895,0.98
454,economic,8,j,90392,0.91
455,effort,6,n,86473,0.95
456,up,2,i,85759,0.95
457,decide,6,v,84035,0.97
458,rate,4,n,87224,0.94
459,strong,6,j,83677,0.98
460,possible,8,j,85084,0.96
461,heart,5,n,84536,0.96
462,drug,4,n,86231,0.94
463,show,4,n,86828,0.94
464,leader,6,n,85438,0.95
465,light,5,n,87427,0.93
466,voice,5,n,89379,0.9
467,wife,4,n,83601,0.96
468,whole,5,j,83756,0.96
469,police,6,n,85880,0.93
470,mind,4,n,82808,0.96
471,finally,7,r,81951,0.97
472,pull,4,v,87243,0.91
473,return,6,v,81812,0.97
474,free,4,j,82090,0.97
475,military,8,j,85152,0.93
476,price,5,n,84443,0.94
477,report,6,n,83174,0.95
478,less,4,r,82930,0.95
479,according,9,i,83773,0.94
480,decision,8,n,82429,0.95
481,explain,7,v,80797,0.97
482,son,3,n,80895,0.97
483,hope,4,v,81385,0.96
484,even,4,c,79087,0.98
485,develop,7,v,84835,0.92
486,view,4,n,81338,0.96
487,relationship,12,n,84549,0.92
488,carry,5,v,79513,0.97
489,town,4,n,79821,0.97
490,road,4,n,80987,0.95
491,drive,5,v,80476,0.96
492,arm,3,n,84865,0.91
493,true,4,j,79299,0.97
494,federal,7,j,81826,0.94
495,break,5,v,79310,0.97
496,better,6,r,78334,0.98
497,difference,10,n,82911,0.92
498,thank,5,v,88574,0.86
499,receive,7,v,80250,0.95
500,value,5,n,82942,0.92
501,international,13,j,81610,0.93
502,building,8,n,78487,0.97
503,action,6,n,80009,0.95
504,full,4,j,77547,0.97
505,model,5,n,82973,0.91
506,join,4,v,80609,0.93
507,season,6,n,83743,0.89
508,society,7,n,81192,0.92
509,because,7,i,77116,0.97
510,tax,3,n,80713,0.92
511,director,8,n,79813,0.93
512,early,5,r,75605,0.98
513,position,8,n,77124,0.96
514,player,6,n,81358,0.91
515,agree,5,v,76753,0.96
516,especially,10,r,76304,0.96
517,record,6,n,77509,0.94
518,pick,4,v,77197,0.95
519,wear,4,v,77921,0.94
520,paper,5,n,75383,0.97
521,special,7,j,75298,0.97
522,space,5,n,75395,0.96
523,ground,6,n,74713,0.97
524,form,4,n,78493,0.92
525,support,7,v,76544,0.94
526,event,5,n,75559,0.95
527,official,8,n,79026,0.91
528,whose,5,d,74914,0.96
529,matter,6,n,73842,0.97
530,everyone,8,p,74534,0.96
531,center,6,n,74559,0.96
532,couple,6,n,74871,0.96
533,site,4,n,75932,0.94
534,end,3,v,73099,0.97
535,project,7,n,75446,0.94
536,hit,3,v,73999,0.95
537,base,4,v,75887,0.93
538,activity,8,n,77980,0.9
539,star,4,n,73695,0.95
540,table,5,n,75228,0.93
541,need,4,n,74877,0.93
542,court,5,n,74112,0.94
543,produce,7,v,74169,0.94
544,eat,3,v,73505,0.95
545,American,8,n,73063,0.95
546,teach,5,v,72668,0.95
547,oil,3,n,74386,0.93
548,half,4,d,70930,0.97
549,situation,9,n,72603,0.95
550,easy,4,j,71602,0.96
551,cost,4,n,73512,0.94
552,industry,8,n,73055,0.94
553,figure,6,n,74858,0.92
554,face,4,v,69493,0.98
555,street,6,n,71645,0.95
556,image,5,n,72216,0.94
557,itself,6,p,71093,0.96
558,phone,5,n,71599,0.95
559,either,6,r,69497,0.97
560,data,4,n,76594,0.88
561,cover,5,v,69387,0.97
562,quite,5,r,69966,0.96
563,picture,7,n,69229,0.97
564,clear,5,j,68662,0.98
565,practice,8,n,73745,0.91
566,piece,5,n,68901,0.97
567,land,4,n,69750,0.96
568,recent,6,j,70685,0.94
569,describe,8,v,71377,0.93
570,product,7,n,70883,0.94
571,doctor,6,n,69446,0.95
572,wall,4,n,71390,0.93
573,patient,7,n,72217,0.91
574,worker,6,n,69962,0.94
575,news,4,n,70051,0.94
576,test,4,n,69870,0.94
577,movie,5,n,69387,0.94
578,certain,7,j,67228,0.97
579,north,5,n,68046,0.96
580,love,4,n,67495,0.96
581,personal,8,j,67917,0.96
582,open,4,j,67218,0.97
583,support,7,n,69431,0.93
584,simply,6,r,66712,0.97
585,third,5,m,67037,0.97
586,technology,10,n,69565,0.93
587,catch,5,v,68214,0.94
588,step,4,n,66232,0.97
589,baby,4,n,67881,0.94
590,computer,8,n,67399,0.95
591,type,4,n,68481,0.93
592,attention,9,n,65271,0.97
593,draw,4,v,65198,0.97
594,film,4,n,66724,0.95
595,Republican,10,n,71611,0.88
596,tree,4,n,66630,0.94
597,source,6,n,66862,0.94
598,red,3,j,66217,0.94
599,nearly,6,r,64860,0.96
600,organization,12,n,67278,0.93
601,choose,6,v,64348,0.97
602,cause,5,v,64531,0.97
603,hair,4,n,69564,0.89
604,look,4,n,66194,0.94
605,point,5,v,62980,0.98
606,century,7,n,65667,0.94
607,evidence,8,n,65360,0.94
608,window,6,n,68303,0.9
609,difficult,9,j,63947,0.96
610,listen,6,v,64984,0.94
611,soon,4,r,63168,0.96
612,culture,7,n,67128,0.91
613,billion,7,m,65243,0.93
614,chance,6,n,62682,0.97
615,brother,7,n,63406,0.95
616,energy,6,n,64139,0.94
617,period,6,n,64534,0.93
618,course,6,n,64012,0.94
619,summer,6,n,62503,0.96
620,less,4,d,62154,0.96
621,realize,7,v,61732,0.97
622,hundred,7,m,61266,0.97
623,available,9,j,63187,0.94
624,plant,5,n,63476,0.93
625,likely,6,j,63002,0.94
626,opportunity,11,n,62422,0.95
627,term,4,n,62962,0.94
628,short,5,j,60451,0.98
629,letter,6,n,60369,0.98
630,condition,9,n,63489,0.93
631,choice,6,n,60487,0.97
632,place,5,v,60927,0.96
633,single,6,j,60072,0.97
634,rule,4,n,61062,0.95
635,daughter,8,n,60424,0.96
636,administration,14,n,62071,0.93
637,south,5,n,60630,0.96
638,husband,7,n,60126,0.96
639,Congress,8,n,62841,0.92
640,floor,5,n,62458,0.92
641,campaign,8,n,64172,0.9
642,material,8,n,62440,0.92
643,population,10,n,62999,0.91
644,well,4,i,61219,0.93
645,call,4,n,59543,0.96
646,economy,7,n,60990,0.93
647,medical,7,j,59424,0.96
648,hospital,8,n,58669,0.97
649,church,6,n,59466,0.96
650,close,5,v,60884,0.93
651,thousand,8,m,58307,0.97
652,risk,4,n,60432,0.94
653,current,7,j,61252,0.92
654,fire,4,n,59386,0.95
655,future,6,n,58020,0.97
656,wrong,5,j,58988,0.95
657,involve,7,v,59542,0.94
658,defense,7,n,59701,0.94
659,anyone,6,p,58274,0.96
660,increase,8,v,60442,0.93
661,security,8,n,58914,0.95
662,bank,4,n,58992,0.94
663,myself,6,p,59716,0.93
664,certainly,9,r,59739,0.93
665,west,4,n,58169,0.95
666,sport,5,n,59006,0.94
667,board,5,n,58436,0.95
668,seek,4,v,58495,0.94
669,per,3,i,59432,0.93
670,subject,7,n,61397,0.9
671,officer,7,n,57617,0.96
672,private,7,j,57248,0.96
673,rest,4,n,56714,0.97
674,behavior,8,n,62625,0.88
675,deal,4,v,57462,0.96
676,performance,11,n,59909,0.92
677,fight,5,v,56886,0.96
678,throw,5,v,57784,0.95
679,top,3,n,57743,0.95
680,quickly,7,r,56454,0.97
681,past,4,j,56588,0.96
682,goal,4,n,58728,0.93
683,second,6,n,56022,0.97
684,bed,3,n,60304,0.9
685,order,5,n,56483,0.96
686,author,6,n,58300,0.93
687,fill,4,v,56915,0.95
688,represent,9,v,58744,0.92
689,focus,5,v,57177,0.94
690,foreign,7,j,57540,0.94
691,drop,4,v,56448,0.95
692,plan,4,v,55829,0.96
693,blood,5,n,56351,0.95
694,upon,4,i,57033,0.94
695,agency,6,n,56954,0.94
696,push,4,v,56103,0.95
697,nature,6,n,57929,0.92
698,color,5,n,56978,0.94
699,no,2,r,54602,0.98
700,recently,8,r,55992,0.95
701,store,5,n,56147,0.95
702,reduce,6,v,57029,0.93
703,sound,5,n,56828,0.94
704,note,4,v,57025,0.93
705,fine,4,j,55174,0.96
706,before,6,r,55608,0.95
707,near,4,i,54869,0.96
708,movement,8,n,56201,0.94
709,page,4,n,55937,0.94
710,enter,5,v,54479,0.96
711,share,5,v,54010,0.97
712,than,4,i,55719,0.94
713,common,6,j,55940,0.93
714,poor,4,j,53820,0.97
715,other,5,p,54372,0.96
716,natural,7,j,55526,0.94
717,race,4,n,54838,0.95
718,concern,7,n,55203,0.94
719,series,6,n,54549,0.95
720,significant,11,j,58947,0.88
721,similar,7,j,55901,0.92
722,hot,3,j,54601,0.95
723,language,8,n,55799,0.92
724,each,4,p,53663,0.96
725,usually,7,r,53477,0.96
726,response,8,n,56342,0.91
727,dead,4,j,55111,0.93
728,rise,4,v,53542,0.95
729,animal,6,n,53127,0.96
730,factor,6,n,57612,0.89
731,decade,6,n,53727,0.95
732,article,7,n,54871,0.93
733,shoot,5,v,53038,0.95
734,east,4,n,53010,0.95
735,save,4,v,52067,0.97
736,seven,5,m,52011,0.97
737,artist,6,n,54353,0.92
738,away,4,i,52005,0.96
739,scene,5,n,51248,0.97
740,stock,5,n,54305,0.91
741,career,6,n,52101,0.95
742,despite,7,i,51526,0.96
743,central,7,j,52501,0.94
744,eight,5,m,50871,0.97
745,thus,4,r,57039,0.87
746,treatment,9,n,53390,0.92
747,beyond,6,i,50742,0.97
748,happy,5,j,51669,0.95
749,exactly,7,r,52685,0.93
750,protect,7,v,50649,0.97
751,approach,8,n,53980,0.91
752,lie,3,v,51657,0.95
753,size,4,n,51868,0.95
754,dog,3,n,52347,0.94
755,fund,4,n,53859,0.91
756,serious,7,j,50285,0.97
757,occur,5,v,52768,0.93
758,media,5,n,51798,0.94
759,ready,5,j,50833,0.96
760,sign,4,n,50045,0.98
761,thought,7,n,51509,0.95
762,list,4,n,50678,0.96
763,individual,10,n,54738,0.89
764,simple,6,j,50583,0.96
765,quality,7,n,52224,0.93
766,pressure,8,n,50773,0.96
767,accept,6,v,49952,0.97
768,answer,6,n,49969,0.97
769,hard,4,r,50793,0.95
770,resource,8,n,53398,0.9
771,identify,8,v,53484,0.9
772,left,4,j,50479,0.95
773,meeting,7,n,49916,0.96
774,determine,9,v,52130,0.92
775,prepare,7,v,49208,0.98
776,disease,7,n,51211,0.94
777,whatever,8,d,50200,0.96
778,success,7,n,50541,0.95
779,argue,5,v,51013,0.94
780,cup,3,n,53633,0.89
781,particularly,12,r,50329,0.95
782,amount,6,n,49944,0.95
783,ability,7,n,51476,0.93
784,staff,5,n,50177,0.95
785,recognize,9,v,50042,0.95
786,indicate,8,v,53215,0.89
787,character,9,n,49530,0.96
788,growth,6,n,50904,0.93
789,loss,4,n,49759,0.95
790,degree,6,n,50612,0.94
791,wonder,6,v,50875,0.93
792,attack,6,n,50898,0.93
793,herself,7,p,52915,0.89
794,region,6,n,50914,0.93
795,television,10,n,49673,0.95
796,box,3,n,49667,0.95
797,TV,2,n,49438,0.95
798,training,8,n,49997,0.93
799,pretty,6,r,50385,0.93
800,trade,5,n,49696,0.94
801,deal,4,n,48975,0.95
802,election,8,n,51322,0.91
803,everybody,9,p,51147,0.91
804,physical,8,j,51451,0.9
805,lay,3,v,49358,0.94
806,general,7,j,49657,0.93
807,feeling,7,n,47349,0.98
808,standard,8,n,49876,0.93
809,bill,4,n,49011,0.94
810,message,7,n,47533,0.97
811,fail,4,v,47503,0.97
812,outside,7,i,46628,0.98
813,arrive,6,v,47435,0.97
814,analysis,8,n,53840,0.85
815,benefit,7,n,48594,0.94
816,name,4,v,47375,0.97
817,sex,3,n,47827,0.95
818,forward,7,r,47877,0.95
819,lawyer,6,n,47853,0.95
820,present,7,v,49659,0.92
821,section,7,n,49764,0.91
822,environmental,13,j,51192,0.88
823,glass,5,n,49686,0.91
824,answer,6,v,47661,0.95
825,skill,5,n,50431,0.9
826,sister,6,n,48183,0.94
827,PM,2,r,54765,0.82
828,professor,9,n,46575,0.97
829,operation,9,n,47276,0.95
830,financial,9,j,47803,0.94
831,crime,5,n,48010,0.93
832,stage,5,n,46346,0.97
833,ok,2,r,54697,0.82
834,compare,7,v,48094,0.93
835,authority,9,n,47309,0.94
836,miss,4,v,46525,0.96
837,design,6,n,48605,0.92
838,sort,4,n,47086,0.95
839,one,3,n,45596,0.98
840,act,3,v,45648,0.98
841,ten,3,m,46827,0.95
842,knowledge,9,n,50335,0.88
843,gun,3,n,47305,0.94
844,station,7,n,46299,0.96
845,blue,4,j,47622,0.93
846,state,5,v,47977,0.93
847,strategy,8,n,49126,0.9
848,little,6,d,45469,0.97
849,clearly,7,r,45912,0.96
850,discuss,7,v,46852,0.94
851,indeed,6,r,46184,0.95
852,force,5,v,44931,0.97
853,truth,5,n,45155,0.97
854,song,4,n,45352,0.96
855,example,7,n,47134,0.93
856,democratic,10,j,47299,0.92
857,check,5,v,45760,0.95
858,environment,11,n,47807,0.91
859,leg,3,n,47477,0.91
860,dark,4,j,47565,0.91
861,public,6,n,45684,0.95
862,various,7,j,46777,0.92
863,rather,6,r,44934,0.96
864,laugh,5,v,48567,0.89
865,guess,5,v,48046,0.9
866,executive,9,n,47338,0.91
867,set,3,n,45121,0.96
868,study,5,v,44897,0.96
869,prove,5,v,44304,0.97
870,hang,4,v,46632,0.92
871,entire,6,j,43997,0.98
872,rock,4,n,45225,0.95
873,design,6,v,45946,0.94
874,enough,6,d,44378,0.97
875,forget,6,v,45571,0.94
876,since,5,i,45591,0.94
877,claim,5,v,44259,0.97
878,note,4,n,44720,0.96
879,remove,6,v,44683,0.96
880,manager,7,n,46187,0.93
881,help,4,n,43721,0.98
882,close,5,j,43568,0.98
883,sound,5,v,45311,0.94
884,enjoy,5,v,44020,0.97
885,network,7,n,45122,0.94
886,legal,5,j,44820,0.95
887,religious,9,j,46425,0.91
888,cold,4,j,44649,0.95
889,form,4,v,44646,0.95
890,final,5,j,43589,0.97
891,main,4,j,43707,0.97
892,science,7,n,45726,0.92
893,green,5,j,44673,0.94
894,memory,6,n,43531,0.97
895,card,4,n,43605,0.96
896,above,5,i,44130,0.95
897,seat,4,n,44404,0.95
